об	2221408
ов	4901938
ог	2773312
од	3090910
ое	1160543
оё	6121
ож	1082000
оз	840457
ои	515750
ой	2431895
ок	1214259
ол	3375143
ом	3209060
он	2942617
оо	222118
оп	922532
ор	3415027
ос	3966047
от	3510602
оу	45965
оф	156020
ох	291336
оц	178877
оч	982203
ош	433712
ощ	144122
оэ	78167
ою	119158
оя	384812
па	961412
пе	1401258
пи	655135
пк	57839
пл	536216
пн	82145
по	5212731
пп	77159
пр	4179260
пс	52071
пт	60657
пу	431907
пц	14382
пч	10646
пш	5025
пы	175479
пь	47775
пя	124971
ра	5048021
рб	69789
рв	257003
рг	261832
рд	158407
ре	3989734
рё	6915
рж	192740
рз	22359
ри	2820329
рк	232599
рл	56161
рм	334205
рн	570726
ро	4714358
рп	66086
рр	63830
рс	314420
рт	484158
ру	1583604
рф	35575
рх	100386
рц	36565
рч	58210
рш	121912
рщ	12644
ры	828626
рь	263595
рэ	7311
рю	68362
ря	524450
са	1003667
сб	50449
св	753802
сг	15211
сд	110058
се	1889506
сё	31728
сж	8816
сз	5364
си	1150205
ск	2586828
сл	1503147
см	423200
сн	615677
со	1915082
сп	1080027
ср	254518
сс	791981
ст	7173707
су	602809
сф	40147
сх	113061
сц	45985
сч	183420
сш	68736
съ	20327
сы	213995
сь	1228030
сэ	6014
сю	67967
ся	2001670
та	3636025
тб	26075
тв	1717885
тг	7467
тд	88584
те	3288502
тё	8114
тз	5303
ти	2688091
тк	401567
тл	131399
тм	58190
тн	821490
то	6718190
тп	45948
тр	2017218
тс	1042223
тт	45108
ту	880925
тф	7750
тх	10171
тц	29942
тч	65243
тш	4342
тщ	8441
тъ	5705
ты	856496
ть	3036424
тэ	4833
тю	40832
тя	303112
уа	95653
уб	376142
ув	264145
уг	517220
уд	1008986
уе	185154
уж	700853
уз	196422
уи	16185
уй	50823
ук	458893
ул	663580
ум	494487
ун	239837
уо	5421
уп	452891
ур	569071
ус	796350
ут	825669
уф	13507
ух	219221
уц	16499
уч	635740
уш	314781
ущ	224286
уэ	9549
ую	692632
уя	30056
фа	143389
фг	4278
фе	246642
фи	307918
фл	36542
фн	4365
фо	285586
фр	94618
фс	12992
фт	28953
фу	48746
фф	33459
фы	8369
фь	5156
ха	336899
хв	82288
хг	4629
хе	41242
хи	150592
хл	65378
хм	28737
хн	146281
хо	1139461
хр	129409
хс	35982
хт	19814
ху	86495
хх	6686
хш	4543
ца	300342
цв	45666
це	622031
ци	954434
цк	49083
цо	93246
цу	72522
цы	114503
ча	1124769
чв	6421
че	2268576
чё	17794
чи	1047351
чк	228068
чл	27773
чн	603811
чо	33949
чр	19885
чт	1330584
чу	248680
чш	63645
чь	106684
ша	438095
шв	19056
ше	1044240
шё	8948
ши	789189
шк	264592
шл	246970
шм	9133
шн	183192
шо	138671
шп	11078
шр	6250
шт	76222
